Level,Capacity,Frequency,Centre
1,15,15,1
1,15,12,1
1,15,9,1
2,15,15,1
2,15,15,1
2,15,12,1
2,15,9,1
2,15,9,1
3,17,15,1
3,17,12,1
3,17,9,1
4,18,15,1
4,18,12,1
4,18,9,1
5,18,15,1
5,18,12,1
6,18,15,1
4,16,15,2
5,16,15,2
5,18,9,2
6,16,15,2
6,18,15,2
6,18,9,2
6,18,9,2
7,18,15,2
6,18,12,3
7,18,12,3
2,15,15,4
2,15,15,4
2,15,9,4
3,16,15,4
3,16,15,4
3,17,12,4
3,17,9,4
4,16,15,4
4,17,12,4
4,17,9,4
5,18,15,4
5,18,9,4
6,18,9,4
1,15,10,5
1,15,7.5,5
1,15,15,5
2,15,7.5,5
2,15,10,5
3,16,10,5
3,16,7.5,5
4,17,12,5
4,17,7.5,5
5,18,12,5
6,18,12,5
1,15,10,6
2,15,10,6
2,15,7.5,6
3,16,12,6
3,16,10,6
3,17,7.5,6
4,17,12,6
4,17,10,6
4,16,7.5,6
4,16,7.5,6
5,18,12,6
5,17,7.5,6
5,17,7.5,6
6,18,12,6
1,15,15,7
1,15,15,7
1,15,9,7
1,15,9,7
1,15,12,7
1,15,12,7
2,15,15,7
2,15,15,7
2,15,15,7
2,15,9,7
2,15,9,7
2,15,9,7
2,15,12,7
2,15,12,7
2,15,12,7
3,16,15,7
3,16,15,7
3,16,15,7
3,16,9,7
3,17,9,7
3,17,9,7
3,17,12,7
3,17,12,7
3,17,12,7
4,16,15,7
4,16,15,7
4,16,15,7
4,16,9,7
4,16,9,7
4,17,9,7
4,17,12,7
4,17,12,7
4,17,12,7
5,17,15,7
5,17,15,7
5,17,15,7
5,17,9,7
5,17,9,7
5,17,9,7
5,18,12,7
5,18,12,7
5,18,12,7
6,18,15,7
6,18,15,7
6,18,15,7
6,18,9,7
6,18,9,7
6,18,9,7
6,18,12,7
6,18,12,7
6,18,12,7
7,18,15,7
7,18,9,7
7,18,9,7
7,18,12,7
8,18,9,7
8,18,12,7
